donor,recipient,donated_amount
New Zealand,Chile,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,Kuwait,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,Thailand,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,Chile,56749885
New Zealand,Thailand,56749885
New Zealand,Thailand,56749885
New Zealand,Brazil,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Brazil,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,Thailand,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,India,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,Thailand,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,India,56749885
New Zealand,Brazil,56749885
New Zealand,Colombia,56749885
New Zealand,South Africa,56749885
New Zealand,Brazil,56749885
New Zealand,South Africa,56749885
New Zealand,South Africa,56749885
New Zealand,India,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,South Africa,56749885
New Zealand,Colombia,56749885
New Zealand,Thailand,56749885
New Zealand,India,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,Thailand,56749885
New Zealand,Brazil,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
New Zealand,Chile,56749885
